@ACunninghamMP.txt:XX,ACunninghamMP,Alex Cunningham,412,60,11
@AMMorrisMP.txt:XX,AMMorrisMP,Anne Marie Morris MP,492,62,6
@AMcDonnellMP.txt:XX,AMcDonnellMP,Alasdair McDonnell,10,0,0
@APMiller1949.txt:XX,APMiller1949,Andrew Miller MP,96,7,3
@AVMitchell2010.txt:XX,AVMitchell2010,Austin Mitchell ,830,74,5
@AdamAfriyie.txt:XX,AdamAfriyie,Adam Afriyie,735,60,44
@AidanBurleyMP.txt:XX,AidanBurleyMP,Aidan Burley MP,666,76,27
@AlanDuncanMP.txt:XX,AlanDuncanMP,Alan Duncan,90,9,2
@AlbertOwenMP.txt:XX,AlbertOwenMP,Albert Owen MP,303,16,0
@AlecShelbrooke.txt:XX,AlecShelbrooke,Alec Shelbrooke MP,399,17,5
@Alison_McGovern.txt:XX,Alison_McGovern,Alison McGovern,394,16,7
@AlistairBurtMP.txt:XX,AlistairBurtMP,Alistair Burt,367,18,4
@AlunCairns.txt:XX,AlunCairns,Alun Cairns,388,50,36
@AmberRuddMP.txt:XX,AmberRuddMP,Amber Rudd,688,135,63
@AnasSarwar.txt:XX,AnasSarwar,AnasSarwar,301,25,14
@Andrew4Pendle.txt:XX,Andrew4Pendle,Andrew Stephenson MP,496,54,23
@AndrewBridgenMP.txt:XX,AndrewBridgenMP,Andrew Bridgen MP,369,38,4
@AndrewGeorgeLD.txt:XX,AndrewGeorgeLD,Andrew George MP,742,70,55
@AndrewJonesMP.txt:XX,AndrewJonesMP,Andrew Jones MP,391,27,7
@AndrewRosindell.txt:XX,AndrewRosindell,Andrew Rosindell MP,160,7,4
@Andrew_SelousMP.txt:XX,Andrew_SelousMP,Andrew Selous MP,651,119,2
@AndyLoveMP.txt:XX,AndyLoveMP,Andy Love MP,561,70,45
@AndyMcDonaldMP.txt:XX,AndyMcDonaldMP,Andy McDonald MP,590,55,23
@AndySawfordMP.txt:XX,AndySawfordMP,Andy Sawford MP,561,26,9
@AngieBrayMP.txt:XX,AngieBrayMP,Angie Bray,715,63,20
@AnnClwyd.txt:XX,AnnClwyd,Ann Clwyd,111,16,6
@AnnMcKechinMP.txt:XX,AnnMcKechinMP,Ann McKechin,413,21,5
@Anna_SoubryMP.txt:XX,Anna_SoubryMP,Anna Soubry MP ,348,22,5
@AnneMcGuireMP.txt:XX,AnneMcGuireMP,Anne McGuire MP,166,9,2
@AnneMcIntoshMP.txt:XX,AnneMcIntoshMP,anne mcintosh,419,23,5
@AnneMiltonMP.txt:XX,AnneMiltonMP,Anne Milton MP,791,64,0
@Annette4MDNP.txt:XX,Annette4MDNP,Annette Brooke,493,82,12
@BarryGardiner.txt:XX,BarryGardiner,Barry Gardiner MP,467,14,2
@BarrySheerman.txt:XX,BarrySheerman,Barry Sheerman MP,587,23,2
@BenPBradshaw.txt:XX,BenPBradshaw,Ben Bradshaw,772,51,13
@BillCashMP.txt:XX,BillCashMP,Bill Cash,82,5,2
@BillEstersonMP.txt:XX,BillEstersonMP,Bill Esterson,435,32,16
@BlaenauGwentMP.txt:XX,BlaenauGwentMP,Nick Smith MP,239,11,3
@BobBlackmanMP.txt:XX,BobBlackmanMP,Bob Blackman,166,15,6
@BrandonLewis.txt:XX,BrandonLewis,Brandon Lewis MP,615,54,11
@CLeslieMP.txt:XX,CLeslieMP,Charlotte Leslie MP,390,18,9
@CarolineFlintMP.txt:XX,CarolineFlintMP,Caroline Flint,230,24,12
@CarolineLucas.txt:XX,CarolineLucas,Caroline Lucas,544,39,17
@CatMcKinnellMP.txt:XX,CatMcKinnellMP,Catherine McKinnell,392,30,11
@CharlieElphicke.txt:XX,CharlieElphicke,Charlie Elphicke,563,56,34
@CherylGillanMP.txt:XX,CherylGillanMP,Cheryl Gillan MP,335,51,14
@ChiOnwurah.txt:XX,ChiOnwurah,chi onwurah,427,26,13
@ChloeSmithMP.txt:XX,ChloeSmithMP,Chloe Smith,653,40,5
@ChrisBryantMP.txt:XX,ChrisBryantMP,Chris Bryant,550,23,1
@ChrisLeslieMP.txt:XX,ChrisLeslieMP,Chris Leslie,356,37,5
@ChrisPincher.txt:XX,ChrisPincher,Christopher Pincher,488,75,13
@ChrisRuaneMP.txt:XX,ChrisRuaneMP,Chris Ruane MP,360,35,29
@ChrisWhite_MP.txt:XX,ChrisWhite_MP,Chris White MP,395,33,3
@ChriswMP.txt:XX,ChriswMP,Chris Williamson,628,128,80
@ChukaUmunna.txt:XX,ChukaUmunna,Chuka Umunna,415,17,11
@CliveBettsMP.txt:XX,CliveBettsMP,Clive Betts,233,25,25
@CliveEfford.txt:XX,CliveEfford,Clive Efford,450,34,17
@Conor_BurnsMP.txt:XX,Conor_BurnsMP,Conor Burns MP,736,51,2
@CraigWhi2kermp.txt:XX,CraigWhi2kermp,Craig Whittaker MP,337,24,5
@Craig_Whittaker.txt:XX,Craig_Whittaker,Craig Whittaker,64,12,0
@CrockartMP.txt:XX,CrockartMP,Mike Crockart MP,588,83,44
@DAlexanderMP.txt:XX,DAlexanderMP,Douglas Alexander,628,44,16
@DLidington.txt:XX,DLidington,David Lidington MP,219,24,5
@DamianCollins.txt:XX,DamianCollins,Damian Collins,509,51,39
@DanJarvisMP.txt:XX,DanJarvisMP,Dan Jarvis,575,53,44
@DavidEvennett.txt:XX,DavidEvennett,David Evennett MP,364,23,11
@DavidGauke.txt:XX,DavidGauke,David Gauke,407,65,5
@DavidHansonMP.txt:XX,DavidHansonMP,David Hanson,733,119,40
@DavidHeathMP.txt:XX,DavidHeathMP,About David Heath MP,23,0,0
@DavidJonesMP.txt:XX,DavidJonesMP,David Jones,760,28,4
@DavidLammy.txt:XX,DavidLammy,David Lammy,584,30,7
@DavidMundellMP.txt:XX,DavidMundellMP,David Mundell MP,652,40,15
@DavidNuttallMP.txt:XX,DavidNuttallMP,David Nuttall MP,582,56,3
@DavidRutleyMP.txt:XX,DavidRutleyMP,David Rutley,509,57,25
@DavidWardMP.txt:XX,DavidWardMP,David Ward,715,77,46
@DavidWrightMP.txt:XX,DavidWrightMP,David Wright MP,771,50,10
@David_Cameron.txt:XX,David_Cameron,David Cameron,836,83,42
@Debbie_abrahams.txt:XX,Debbie_abrahams,Debbie Abrahams,546,66,37
@DianaJohnsonMP.txt:XX,DianaJohnsonMP,Diana Johnson,311,28,1
@DonFosterMP.txt:XX,DonFosterMP,Don Foster,477,62,27
@DouglasCarswell.txt:XX,DouglasCarswell,Douglas Carswell MP,483,16,7
@DrPhillipLeeMP.txt:XX,DrPhillipLeeMP,Dr Phillip Lee MP,561,58,22
@EalingLabour.txt:XX,EalingLabour,Ealing Labour Party,274,25,17
@Ed_Miliband.txt:XX,Ed_Miliband,Ed Miliband,638,59,16
@EdwardDaveyMP.txt:XX,EdwardDaveyMP,Edward Davey,323,53,15
@EmilyThornberry.txt:XX,EmilyThornberry,Emily Thornberry MP,408,38,10
@EmmaLewellBuck.txt:XX,EmmaLewellBuck,Emma Lewell-Buck MP,452,24,15
@EmmaReynoldsMP.txt:XX,EmmaReynoldsMP,Emma Reynolds,427,68,18
@EricPickles.txt:XX,EricPickles,Eric Pickles,609,48,18
@EstherMcVeyMP.txt:XX,EstherMcVeyMP,Esther McVey,706,59,35
@FionaODonnellMP.txt:XX,FionaODonnellMP,Fiona O'Donnell MP,412,29,3
@FitzMP.txt:XX,FitzMP,Jim Fitzpatrick MP,712,86,45
@FrancieMolloy.txt:XX,FrancieMolloy,Francie Molloy,264,34,10
@Freeman_George.txt:XX,Freeman_George,George Freeman MP,532,56,23
